id,text
1,"Explain Generative AI to a beginner!!!"
2,"Explain Generative AI to a beginner!!!"
3,"What is RAG? Visit https://example.com for more info 😊"
4,"  HOW does fine-tuning work in AI??   "
5,""
6,"Can AI help students in Nepal? नेपाली भाषामा पनि"
7,"Prompt engineering tips @@@ for beginners!!!"
8,"What is Python loop???? #coding"
9,"AI ethics and privacy in chatbot systems!!!"
10,"This row is too short"
11,"How do embeddings help semantic search in chatbot systems?"
12,"Difference between AI, ML, and deep learning???"
13,"Best practices for safe chatbot design and harmful prompt blocking."
14,"What is tokenization in NLP? Remove punctuation!!!"
15,"Nepali-English data cleaning example: नमस्ते world!!"
16,
17,"Why are train-validation splits important in model development?"
18,"     multiple      spaces should      be normalized     "
